UnityMillis	ArduinoMillis	EDA	IBI	Distance
1996	95717	195	191	188
2009	95727	195	192	189
2011	95737	195	192	188
2025	95747	196	193	191
2028	95757	196	193	189
2042	95767	196	193	190
2059	95777	196	192	189
2061	95787	196	193	190
2075	95797	196	193	189
2077	95807	196	193	190
2092	95817	196	192	189
2094	95827	196	193	188
2108	95837	197	193	189
2125	95847	196	193	190
2127	95857	195	192	188
2142	95867	195	192	188
2143	95877	196	191	187
2158	95887	194	192	189
2175	95897	195	191	188
2177	95907	195	191	187
2192	95917	195	192	188
2194	95927	195	192	189
2208	95937	195	192	188
2224	95947	195	191	188
2226	95958	195	191	189
2241	95968	195	191	187
2257	95978	196	193	189
2259	95988	196	191	184
2274	95998	196	193	189
2276	96008	196	192	186
2291	96018	196	192	188
2308	96028	196	191	185
2309	96038	196	193	190
2324	96048	196	192	187
2325	96058	196	193	190
2341	96068	196	191	185
2357	96078	196	193	189
2359	96088	196	191	185
2373	96098	196	193	189
2390	96108	196	191	184
2392	96118	195	192	188
2407	96128	195	190	184
2409	96138	195	192	189
2423	96148	195	190	183
2440	96158	195	192	189
2441	96168	195	190	183
2456	96178	195	192	188
2458	96188	195	190	184
2473	96198	195	192	189
2475	96208	196	191	184
2489	96218	196	193	190
2506	96228	196	191	185
2508	96238	196	193	189
2522	96248	196	191	184
2524	96258	196	193	190
2539	96268	196	191	185
2556	96278	196	192	189
2558	96288	196	191	184
2573	96299	196	193	190
2589	96309	196	191	184
2591	96319	195	192	188
2606	96329	195	189	182
2608	96339	196	192	188
2622	96349	195	189	181
2638	96359	195	192	189
2640	96369	195	189	181
2655	96379	195	192	189
2657	96389	195	189	183
2672	96399	195	192	187
2688	96409	196	190	183
2690	96419	196	193	190
2705	96429	196	191	184
2707	96439	197	192	189
2721	96449	196	190	183
2738	96459	196	193	190
2740	96470	196	191	184
2755	96480	196	193	190
2771	96490	196	191	183
2773	96500	196	194	191
2788	96510	196	190	183
2789	96520	195	192	188
2805	96530	195	189	181
2807	96540	195	192	190
2821	96550	195	189	181
2837	96560	195	191	189
2839	96570	195	189	182
2854	96580	195	192	190
2856	96590	195	190	182
2870	96600	195	192	189
2887	96610	195	189	182
2889	96620	195	192	189
2903	96630	195	189	181
2920	96640	195	192	189
2922	96650	195	189	182
2937	96660	196	192	189
2938	96670	195	189	181
2953	96680	195	192	191
2970	96690	195	189	182
2972	96700	195	192	190
2986	96710	195	189	181
2988	96720	195	193	190
3003	96730	195	189	180
3020	96740	195	192	190
3022	96750	195	189	181
3036	96760	195	192	190
3038	96770	195	189	182
3053	96780	195	193	190
3069	96790	195	189	182
3071	96800	195	192	190
3086	96811	194	189	181
3102	96821	195	193	191
3104	96831	195	189	182
3119	96841	195	193	192
3121	96851	195	189	183
3135	96861	195	193	191
3152	96871	195	189	182
3154	96881	196	193	193
3169	96891	195	189	183
3170	96901	196	193	191
3185	96911	194	189	182
3202	96921	195	192	191
3203	96931	195	190	184
3218	96941	195	193	191
3220	96951	194	189	182
3235	96961	195	193	192
3252	96971	195	189	182
3253	96982	195	194	195
3268	96992	195	191	185
3270	97002	195	195	196
3285	97012	195	191	186
3301	97022	195	194	195
3303	97032	195	191	185
3318	97042	195	195	196
3320	97052	195	191	187
3334	97062	195	194	195
3352	97072	195	191	186
3353	97082	194	195	197
3367	97092	195	192	187
3384	97102	195	194	195
3386	97112	195	191	186
3400	97122	195	195	197
3402	97132	195	192	187
3417	97142	195	193	195
