UnityMillis	ArduinoMillis	EDA	IBI	Distance
2819	471	0	5	-13
2819	493	-1	3	-12
2858	508	-2	2	-12
2858	523	-2	2	-12
2905	538	-2	1	-12
2905	553	-2	1	-12
2905	569	-2	1	-12
2905	583	-2	1	-11
2934	599	-1	1	-11
2934	613	-1	1	-11
2950	628	-1	1	-11
2967	644	0	1	-11
2985	658	0	1	-11
3017	673	0	2	-11
3017	688	-1	3	-11
3049	703	-1	3	-10
3049	718	-1	3	-10
3066	733	-1	3	-10
3085	748	-2	4	-10
3085	763	-2	4	-11
3102	778	-2	4	-11
3119	793	-2	4	-11
3135	808	-2	4	-12
3153	823	-2	4	-12
3169	838	-2	5	-12
3197	852	-2	5	-12
3197	868	-2	5	-12
3217	883	-2	5	-11
3217	898	-2	5	-11
3234	913	-2	5	-10
3253	928	-2	6	-10
3270	943	-1	6	-9
3287	958	-1	7	-8
3303	973	-1	8	-7
3320	988	-1	9	-6
3337	1003	-1	10	-5
3365	1017	0	11	-5
3365	1033	0	13	-4
3385	1048	0	14	-4
3385	1062	0	15	-3
3402	1078	0	17	-2
3421	1093	-1	18	-1
3454	1107	-1	20	0
3454	1123	-1	21	0
3471	1138	-2	23	0
3487	1153	-2	25	0
3517	1168	-2	26	0
3517	1182	-2	28	0
3537	1198	-2	29	0
3537	1213	-2	31	0
3554	1227	-2	32	0
3573	1243	-3	34	0
3605	1258	-3	35	0
3606	1272	-3	36	0
3638	1288	-2	37	0
3638	1303	-2	38	0
3638	1317	-2	38	0
3673	1333	-2	39	0
3673	1347	-2	40	0
3706	1362	-2	40	0
3706	1378	-2	41	0
3723	1392	-2	42	0
3739	1408	-2	42	0
3756	1423	-1	43	0
3756	1437	-1	43	1
3772	1453	-1	44	1
3790	1468	-1	44	1
3821	1482	0	45	2
3821	1498	0	46	2
3838	1512	0	47	2
3855	1527	1	48	2
3871	1543	2	49	3
3889	1557	2	50	3
3906	1572	3	52	4
3923	1588	3	53	4
3940	1602	3	54	5
3940	1617	3	55	6
3956	1633	3	56	6
3985	1647	3	58	6
3985	1662	4	59	6
4005	1677	4	60	7
4022	1692	4	60	7
4041	1708	5	61	8
4074	1722	5	61	8
4074	1737	5	62	9
4074	1753	5	62	9
4090	1767	5	63	9
4107	1782	6	64	9
4137	1798	7	64	9
4137	1812	8	65	9
4157	1827	9	65	9
4174	1842	8	66	10
4191	1857	7	66	10
4208	1872	6	66	11
4208	1887	6	66	11
4224	1902	6	67	11
4241	1917	6	67	12
4274	1932	6	67	12
4274	1947	6	67	12
4305	1963	6	67	12
4305	1977	6	68	12
4326	1992	6	68	12
4358	2007	6	68	13
4358	2022	5	68	13
4358	2037	5	68	13
4375	2052	4	69	13
4391	2067	4	69	13
4408	2082	4	69	13
4426	2097	2	70	13
4457	2112	0	71	13
4457	2127	-1	71	13
4474	2142	-2	72	12
4510	2157	-1	73	12
4510	2171	0	73	11
4510	2187	0	74	11
4541	2202	0	74	11
4541	2216	0	74	11
4558	2232	-1	74	11
4578	2247	-2	74	12
4621	2262	-3	74	12
4621	2277	-3	74	12
4621	2292	-3	74	12
4641	2307	-3	75	12
4658	2322	-3	75	12
4658	2336	-3	75	12
4675	2352	-2	76	12
4693	2367	-1	76	12
4710	2381	0	76	12
4727	2397	1	76	12
4743	2412	0	76	12
4773	2426	-1	76	13
4773	2442	-3	76	13
4793	2457	-4	75	13
4793	2471	-5	75	13
4810	2487	-7	75	14
4841	2501	-13	75	14
4841	2516	-33	75	14
4858	2532	-114	75	14
4877	2546	-150	74	15
4894	2562	-159	74	15
4925	2577	-163	74	15
4925	2591	-164	74	15
4945	2607	-164	74	15
4945	2622	-163	73	15
4962	2636	-162	73	15
4979	2652	-161	73	15
4995	2666	-161	73	16
5025	2681	-161	72	16
5025	2697	-162	72	16
5045	2711	-162	71	16
5077	2726	-162	71	16
5077	2742	-162	70	17
5094	2756	-161	70	17
5114	2771	-161	70	17
5114	2787	-161	70	17
5145	2801	-162	70	17
5145	2817	-162	69	17
5162	2831	-162	69	17
5181	2846	-162	69	17
5214	2862	-163	69	17
5214	2876	-163	69	17
5214	2891	-163	68	17
5261	2907	-162	68	17
5261	2921	-162	68	17
5261	2936	-162	68	17
5278	2952	-163	68	17
5295	2966	-163	68	17
5313	2981	-163	67	17
5330	2996	-163	67	17
5346	3011	-163	67	17
5363	3026	-163	67	17
5363	3041	-163	67	18
5380	3056	-163	67	18
5409	3072	-163	67	18
5409	3086	-163	67	18
5429	3101	-163	67	18
5446	3117	-163	67	18
5463	3131	-163	67	17
5481	3146	-163	67	17
5497	3161	-163	67	17
5497	3176	-162	67	17
5514	3191	-162	67	17
5531	3206	-162	67	18
5561	3221	-163	67	18
5561	3236	-163	67	17
5581	3251	-163	67	17
5598	3266	-162	67	17
5615	3281	-162	67	17
5631	3296	-162	67	17
5648	3311	-162	67	17
5665	3325	-162	68	17
5665	3341	-161	68	17
5685	3356	-161	68	17
5730	3371	-161	69	17
5730	3386	-160	69	17
5730	3401	-160	69	17
5749	3416	-159	69	17
5766	3431	-159	69	17
5782	3446	-159	69	17
5799	3461	-159	69	17
5816	3476	-159	69	17
5816	3490	-159	69	17
5838	3506	-159	69	17
5877	3521	-159	69	17
5877	3535	-159	70	16
5877	3551	-158	70	17
5897	3566	-158	70	17
5914	3580	-156	71	17
5930	3596	-154	71	16
5949	3610	-151	72	16
5949	3625	-148	72	16
5966	3641	-143	73	16
5983	3655	-137	73	15
5999	3671	-131	73	15
6029	3686	-128	73	15
6029	3700	-126	73	15
6049	3716	-126	73	15
6066	3731	-126	73	15
6082	3745	-127	73	15
6082	3761	-127	73	15
6099	3776	-127	73	15
6117	3790	-127	73	15
6134	3806	-127	73	15
6151	3820	-127	73	15
6181	3835	-128	73	15
6181	3851	-130	73	15
6201	3865	-132	73	15
6218	3880	-136	73	15
6218	3896	-138	74	15
6235	3910	-139	74	15
6251	3926	-140	74	15
6268	3940	-142	73	15
6285	3955	-144	73	15
6302	3971	-145	73	15
6333	3985	-146	73	15
6333	4000	-148	73	15
6353	4016	-149	72	15
6353	4030	-150	72	15
6369	4045	-152	72	15
6386	4061	-153	72	15
6403	4075	-154	72	15
6433	4090	-155	72	15
6433	4105	-155	72	15
6455	4120	-156	72	15
6497	4135	-156	71	15
6497	4150	-156	71	16
6497	4165	-156	71	16
6517	4180	-157	71	16
6537	4195	-157	71	16
6537	4210	-158	71	16
6554	4226	-158	71	16
6571	4240	-158	71	16
6587	4255	-158	71	16
6604	4270	-158	71	16
6621	4285	-158	71	16
6649	4300	-159	70	16
6649	4315	-159	70	16
6669	4330	-160	70	16
6669	4345	-160	70	16
6686	4360	-160	70	16
6703	4375	-160	69	16
6719	4390	-160	69	16
6737	4405	-160	69	16
6754	4420	-161	69	16
6771	4434	-161	69	16
6801	4450	-161	69	16
6801	4465	-161	69	16
6821	4480	-161	69	17
6821	4495	-161	69	17
6838	4510	-161	69	17
6855	4525	-161	69	17
6871	4540	-161	69	17
6888	4555	-161	69	17
6905	4570	-161	69	17
6922	4585	-161	69	17
6973	4599	-161	69	17
6973	4615	-160	69	17
6973	4630	-160	69	17
6973	4644	-160	69	17
7021	4660	-160	69	17
7021	4675	-160	69	17
7021	4689	-160	69	17
7053	4705	-160	69	17
7053	4720	-160	69	17
7074	4734	-160	69	17
7074	4750	-160	69	17
7101	4764	-160	69	17
7121	4780	-160	69	17
7121	4795	-160	69	17
7138	4809	-160	68	17
7155	4825	-160	68	17
7173	4840	-160	68	17
7190	4854	-160	68	17
7207	4870	-160	68	17
7223	4885	-160	68	17
